,NAME,host_identity_verified,host.name,neighbourhood.group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room.type,Construction.year,price,service.fee,minimum.nights,number.of.reviews,reviews.per.month,review.rate.number,calculated.host.listings.count,availability.365
44315,Cozy 1 Bedroom Close To Manhattan,verified,Jordan,Brooklyn,Williamsburg,40.70313,-73.93837,FALSE,strict,Entire home/apt,2015,$760 ,$152 ,2,4,1.88,4,1,75
43406,The Sunshine Palace,verified,Lucy,Queens,Queens Village,40.70303,-73.74906,FALSE,moderate,Entire home/apt,2009,$760 ,$152 ,1,38,12,2,3,362
43654,Comfortable apartment in the heart of Brooklyn.,unconfirmed,Olman,Brooklyn,Crown Heights,40.67533,-73.94889,TRUE,moderate,Entire home/apt,2019,$760 ,$152 ,2,6,2.54,3,2,0
58701,Bushwick/Ridgewood studio garden aptmt w parking,verified,Alice,Queens,Ridgewood,40.70875,-73.91654,TRUE,flexible,Entire home/apt,2011,$760 ,$152 ,3,109,0.99,3,1,237
49661,"Safe and Sweet, Stellar East Harlem",verified,Larry,Manhattan,East Harlem,40.78692,-73.94268,FALSE,strict,Private room,2012,$760 ,$152 ,1,46,4.95,4,3,72
51595,The love nest,verified,Journey,Queens,Cambria Heights,40.69485,-73.72415,FALSE,flexible,Entire home/apt,2015,$760 ,$152 ,1,25,5.47,5,3,143
60015,One BR 2nd FL apartment close to Air Train,verified,Romeo,Queens,Jamaica,40.69074,-73.80449,FALSE,moderate,Entire home/apt,2020,$760 ,$152 ,1,13,1.09,5,5,365
22510,Comfortable Rest Stop,unconfirmed,Jeremy,Brooklyn,East Flatbush,40.6536,-73.92643,TRUE,flexible,Private room,2019,$760 ,$152 ,2,16,0.71,4,1,0
37688,"Family-friendly Brownstone, 2 blocks to Subway!",unconfirmed,Jessica,Brooklyn,Bedford-Stuyvesant,40.68143,-73.94765,TRUE,strict,Entire home/apt,2019,$760 ,$152 ,2,7,0.9,4,1,11
22397,Quiet spacious sunny studio in Greenpoint Brooklyn,unconfirmed,Yoav,Brooklyn,Greenpoint,40.73542,-73.9562,FALSE,moderate,Entire home/apt,2004,$760 ,$152 ,20,17,0.65,1,1,59
31016,"LOVE MANHATTAN 2
NEAR TO YANKE STADIUM",unconfirmed,Ociel,Bronx,Mott Haven,40.80863,-73.92121,FALSE,moderate,Private room,2009,$760 ,$152 ,1,33,2.14,3,4,75
30831,Private Sunny Apt In Beautiful Brooklyn Brownstone,verified,Hugo,Brooklyn,Bedford-Stuyvesant,40.68424,-73.93851,FALSE,strict,Entire home/apt,2006,$759 ,$152 ,5,2,0.2,3,1,301
5970,Cozy room in East Village,verified,Jasmine,Manhattan,East Village,40.72242,-73.98262,FALSE,strict,Private room,2020,$759 ,$152 ,2,9,0.16,3,2,137
36571,Convenient room in Williamsburg,verified,Maxim,Brooklyn,Williamsburg,40.70987,-73.95818,FALSE,flexible,Private room,2013,$759 ,$152 ,1,45,4.91,5,3,75
56527,Sunny Cozy Loft in Greenpoint,verified,Nadja Verena,Brooklyn,Greenpoint,40.72999,-73.95301,FALSE,strict,Entire home/apt,2006,$759 ,$152 ,30,2,0.09,3,1,1
58905,"Spacious, bright & charming 1-bedroom in EV",unconfirmed,Maher,Manhattan,Gramercy,40.73327,-73.98702,FALSE,strict,Entire home/apt,2003,$759 ,$152 ,14,8,0.24,2,1,0
82244,Bright & Beautiful Brooklyn Boudoir and more! ☺,verified,Joica,Brooklyn,East New York,40.67296,-73.87435,FALSE,flexible,Entire home/apt,2006,$759 ,$152 ,1,7,0.38,5,6,177
14248,BR in amazing Apt - 10min Manhattan,verified,Mathieu,Brooklyn,Williamsburg,40.70818,-73.94952,TRUE,moderate,Private room,2008,$759 ,$152 ,1,17,0.44,5,3,95
49602,Cozy private room with private bathroom,verified,Ling,Brooklyn,Dyker Heights,40.62802,-74.01435,TRUE,moderate,Private room,2016,$759 ,$152 ,1,3,1.55,4,3,0
73789,Private Sunny Apt In Beautiful Brooklyn Brownstone,verified,Hugo,Brooklyn,Bedford-Stuyvesant,40.68424,-73.93851,TRUE,strict,Entire home/apt,2006,$759 ,$152 ,5,2,0.2,3,1,301
926,Best West Village/Meatpacking Space,unconfirmed,Gray,Manhattan,West Village,40.73104,-74.00879,FALSE,strict,Private room,2005,$759 ,$152 ,1,7,0.08,3,1,321
87537,Beautiful room on Brownstone in Bushwick,verified,Jose,Brooklyn,Bushwick,40.69283,-73.90961,FALSE,moderate,Private room,2013,$759 ,$152 ,2,42,1.16,2,1,0
93764,Private Sunny Apt In Beautiful Brooklyn Brownstone,unconfirmed,Hugo,Brooklyn,Bedford-Stuyvesant,40.68424,-73.93851,TRUE,strict,Entire home/apt,2006,$759 ,$152 ,5,2,0.2,3,1,301
50716,Williamsburg Penthouse Hideaway,unconfirmed,Martin,Brooklyn,Williamsburg,40.71165,-73.95236,TRUE,flexible,Private room,2013,$758 ,$152 ,1,638,6.01,4,2,121
904,"Awesome views, Central location",verified,Dixon,Manhattan,Midtown,40.75023,-73.98293,TRUE,moderate,Entire home/apt,2021,$758 ,$152 ,10,19,0.27,4,1,225
47669,Amazing West Village ✌ Location is ♕NYC,unconfirmed,Alex,Manhattan,Greenwich Village,40.73054,-74.00061,TRUE,flexible,Entire home/apt,2010,$758 ,$152 ,1,5,5,2,1,185
79483,Beautiful Blue Paradise! (Brooklyn),verified,Jaye,Brooklyn,Bushwick,40.68823,-73.90825,FALSE,strict,Private room,2007,$758 ,$152 ,1,49,1.86,4,3,105
77484,Williamsburg Waterfront 2br + 2bath Apartment,verified,Dave,Brooklyn,Williamsburg,40.72052,-73.96239,TRUE,strict,Entire home/apt,2019,$758 ,$152 ,2,9,0.29,5,1,0
54642,"Wake up to THIS VIEW!
15 minutes to Times Square!",verified,Emily,Manhattan,Hell's Kitchen,40.75932,-74.00282,TRUE,strict,Entire home/apt,2021,$758 ,$152 ,3,1,1,4,5,35
8175,Spacious Room in Washington Heights,verified,Josette,Manhattan,Washington Heights,40.84773,-73.93346,FALSE,moderate,Private room,2018,$758 ,$152 ,1,1,0.02,1,1,8
86697,Private Bedroom in a 3BR Apartment,unconfirmed,Mayra,Manhattan,Inwood,40.86541,-73.92935,FALSE,moderate,Private room,2014,$758 ,$152 ,2,10,0.28,1,2,361
66817,"Light-filled, eclectic Williamsburg apt.",unconfirmed,Kelly,Brooklyn,Williamsburg,40.71161,-73.94226,TRUE,moderate,Entire home/apt,2004,$758 ,$152 ,30,15,0.28,3,1,0
37788,Private Apt Manhattan Upper East 12min CentralPark,unconfirmed,Juan C,Manhattan,East Harlem,40.79074,-73.94276,TRUE,moderate,Entire home/apt,2017,$758 ,$152 ,2,31,4.13,5,1,272
93312,5mins to train; New York Modern Home- (5),unconfirmed,Eduardo,Queens,Jackson Heights,40.75287,-73.86435,TRUE,flexible,Private room,2004,$758 ,$152 ,2,34,2.07,5,5,126
62749,Large room w/  own bath near subway & Midtown,verified,Kaz,Queens,Woodside,40.74674,-73.90877,TRUE,moderate,Private room,2011,$757 ,$151 ,30,3,0.36,4,161,185
89205,"Beautiful Apartment
Great location- Holidays in NY",unconfirmed,Blanca,Brooklyn,Clinton Hill,40.68572,-73.96627,FALSE,flexible,Entire home/apt,2017,$757 ,$151 ,14,5,0.17,5,2,186
72809,"Beautiful, rustic room in artistic apt.",unconfirmed,Jordan,Brooklyn,Crown Heights,40.67763,-73.95943,FALSE,flexible,Private room,2006,$757 ,$151 ,1,5,0.11,5,1,0
22586,Beautiful Room by Bushwick Brooklyn!!,verified,Osa,Brooklyn,Bushwick,40.70457,-73.91603,FALSE,flexible,Private room,2011,$757 ,$151 ,2,40,1.49,3,3,319
19383,"Beautiful Apartment
Great location- Holidays in NY",verified,Blanca,Brooklyn,Clinton Hill,40.68572,-73.96627,TRUE,strict,Entire home/apt,2017,$757 ,$151 ,14,5,0.17,5,2,186
94435,Comfy Room with Private Insuite Bathroom,unconfirmed,Diana,Brooklyn,Bedford-Stuyvesant,40.69616,-73.93438,TRUE,strict,Private room,2010,$757 ,$151 ,3,22,1.54,2,7,96
24717,The City Farmhouse APT A **MONTHLY RENTALS**,unconfirmed,Angele,Queens,Astoria,40.75829,-73.91298,TRUE,moderate,Entire home/apt,2017,$757 ,$151 ,7,10,0.45,5,3,247
52228,Charming Cozy Home Private House,unconfirmed,Sida,Queens,East Elmhurst,40.76434,-73.88243,TRUE,flexible,Entire home/apt,2005,$757 ,$151 ,3,36,2.41,5,2,56
65029,"NU Hotel, Standard King",verified,NU Hotel,Brooklyn,Downtown Brooklyn,40.69868,-73.98594,TRUE,moderate,Private room,2017,$757 ,$151 ,1,2,0.1,2,7,333
48617,The Little Castle in Astoria,unconfirmed,Prince,Queens,Astoria,40.76887,-73.91128,FALSE,flexible,Private room,2006,$757 ,$151 ,1,1,1,5,1,165
52112,"Lovely, modern, luxury studio apartment!",verified,Jason,Manhattan,Hell's Kitchen,40.75985,-73.9908,FALSE,flexible,Entire home/apt,2011,$756 ,$151 ,1,9,2.41,2,1,345
27820,Cool and Cozy East Village Studio - Best Location,verified,Emma,Manhattan,East Village,40.72456,-73.98764,FALSE,strict,Entire home/apt,2016,$756 ,$151 ,5,3,0.16,3,1,NA
41881,Cozy Bushwick Nook,verified,Adila,Brooklyn,Bushwick,40.7042,-73.91693,TRUE,flexible,Private room,2016,$756 ,$151 ,1,15,3.36,2,1,13
16581,EXECUTIVE MANHATTAN GREEN ROOM WITH ALL AMENITIES,unconfirmed,David,Manhattan,Harlem,40.81604,-73.94017,TRUE,flexible,Private room,2022,$756 ,$151 ,2,20,0.58,3,4,143
21382,Cute RM in Private Home with Backyard/Near Metro,unconfirmed,Armando,Bronx,Fordham,40.86917,-73.89465,FALSE,strict,Private room,2020,$756 ,$151 ,3,77,2.7,1,10,65
31990,Private Room in peaceful town,unconfirmed,Esin,Queens,Sunnyside,40.73891,-73.92642,FALSE,moderate,Private room,2006,$756 ,$151 ,3,3,0.29,4,2,112
16940,cosy room with all confort,verified,Zakaria,Bronx,Longwood,40.82716,-73.89911,FALSE,strict,Private room,2006,$756 ,$151 ,1,11,0.3,3,1,88
35417,Respectful Beautiful Harlem Room,verified,SamariSankofa,Manhattan,Harlem,40.81047,-73.94042,TRUE,flexible,Private room,2015,$756 ,$151 ,1,19,1.89,2,3,355
100319,Charming room well located !!!!,verified,Madi,Manhattan,East Harlem,40.79275,-73.94191,TRUE,flexible,Private room,2018,$756 ,$151 ,5,1,0.03,3,1,0
30080,Cathedral View,verified,Matt,Manhattan,Upper West Side,40.80115,-73.96282,TRUE,flexible,Private room,2014,$756 ,$151 ,1,1,0.06,5,1,88
38605,"HUGE ONE-BED, PROSPECT PARK, CAT LOVERS ONLY!!",verified,Rebecca,Brooklyn,Prospect-Lefferts Gardens,40.66106,-73.96189,FALSE,flexible,Entire home/apt,2012,$756 ,$151 ,5,2,1.28,5,1,8
93013,Cathedral View,unconfirmed,Matt,Manhattan,Upper West Side,40.80115,-73.96282,TRUE,strict,Private room,2014,$756 ,$151 ,1,1,0.06,5,1,88
97687,Private Room+Bathroom in DUMBO in luxury building,unconfirmed,Agnese,Brooklyn,Vinegar Hill,40.69949,-73.98319,FALSE,strict,Private room,2015,$756 ,$151 ,3,2,0.32,2,3,16
80781,Spacious Bedroom with lots of Natural Light,verified,Jacqueline,Manhattan,Washington Heights,40.84917,-73.94048,FALSE,strict,Private room,2015,$756 ,$151 ,2,2,0.16,3,1,0
81268,Newly renovated studio in Prime Manhattan location,verified,Melissa,Manhattan,Chelsea,40.74444,-74.00068,TRUE,strict,Entire home/apt,2015,$755 ,$151 ,3,2,0.08,4,1,0
15219,`A BEAUTY IN BK,unconfirmed,Sol And Coach,Brooklyn,Cypress Hills,40.68202,-73.88943,FALSE,strict,Entire home/apt,2019,$755 ,$151 ,1,130,3.48,4,2,346
23863,You'll never find studio with this price(Allyours),verified,Lilian,Brooklyn,Bedford-Stuyvesant,40.67759,-73.90888,TRUE,strict,Entire home/apt,2014,$755 ,$151 ,2,26,1.08,1,1,0
60747,SUPERB-2BR*1minTrain*5mns to Manh*15ms Mdtwn!.....,verified,V.I.,Brooklyn,Williamsburg,40.71623,-73.95234,FALSE,flexible,Entire home/apt,2013,$755 ,$151 ,30,2,0.42,5,2,132
97901,Beautiful Private Room Big Windows,unconfirmed,Dee Daisy And Peter,Brooklyn,Bedford-Stuyvesant,40.69025,-73.95042,FALSE,flexible,Private room,2021,$755 ,$151 ,30,11,1.02,3,4,361
43013,Sunny apartment on L train in Bushwick/Ridgewood,verified,Nick,Queens,Ridgewood,40.69945,-73.90771,TRUE,flexible,Private room,2010,$755 ,$151 ,3,4,1.88,2,1,68
26436,"Light, spacious apartment in trendy neighborhood",unconfirmed,Kathy,Brooklyn,Crown Heights,40.67467,-73.9469,FALSE,flexible,Entire home/apt,2008,$755 ,$151 ,5,2,0.66,3,1,0
61623,Spacious 1 BR Near Time Square & Central Park,unconfirmed,Kyle,Manhattan,Hell's Kitchen,40.75978,-73.99329,FALSE,moderate,Entire home/apt,2014,$755 ,$151 ,1,7,1.5,5,1,171
49597,New York City Finest,unconfirmed,Maryam,Brooklyn,Bedford-Stuyvesant,40.68896,-73.92585,FALSE,strict,Entire home/apt,2007,$755 ,$151 ,2,115,2.72,2,1,358
49690,"nice private room with balcony, WiFi, tv, a / c, microwave, refrigerator, desk, near the train station 7, E, F, R, M and buses that go to La Guardia airport a quiet place half a block from a grosery that is 24 hours, warm and friendly atmosphere",verified,Victor,Queens,Woodside,40.74368,-73.89116,TRUE,strict,Private room,2012,$755 ,$151 ,2,24,5.11,5,1,241
6830,"Modern, south facing and spacious UWS 1BR",verified,Max,Manhattan,Upper West Side,40.77669,-73.97696,TRUE,flexible,Entire home/apt,2015,$755 ,$151 ,31,1,0.02,5,1,138
86982,Cozy studio with HUGE PRIVATE terrace and grill,unconfirmed,Valeryia,Manhattan,East Harlem,40.78706,-73.94798,TRUE,moderate,Entire home/apt,2015,$755 ,$151 ,1,6,0.18,4,1,0
31382,Trendy Williamsburg! 1 block to subway (L).,unconfirmed,Artem,Brooklyn,Williamsburg,40.71434,-73.94275,TRUE,moderate,Entire home/apt,2011,$755 ,$151 ,2,48,3.27,2,2,53
91478,Prime Williamsburg Location! 10 min from Manhattan,unconfirmed,Marco,Brooklyn,Williamsburg,40.71059,-73.96002,TRUE,moderate,Private room,2007,$755 ,$151 ,3,46,1.62,3,2,141
66639,Gorgeous Brooklyn Getaway,verified,Aziza,Brooklyn,Bedford-Stuyvesant,40.69339,-73.95837,FALSE,strict,Private room,2007,$755 ,$151 ,30,34,0.31,2,1,358
56413,"VIP）Private bathroom, twin suite",verified,Liqing,Queens,Flushing,40.74195,-73.81855,FALSE,moderate,Entire home/apt,2021,$755 ,$151 ,30,19,0.63,4,5,86
64697,Rhonda's bed and breakfast,unconfirmed,Rhonda,Brooklyn,Bedford-Stuyvesant,40.69054,-73.94501,FALSE,moderate,Private room,2006,$755 ,$151 ,2,26,0.37,5,1,274
72461,HK SWEET SPOT,unconfirmed,Christopher,Manhattan,Hell's Kitchen,40.75849,-73.9907,FALSE,strict,Entire home/apt,2010,$754 ,$151 ,2,1,0.02,2,1,161
23165,"Park, Subway & All Conveniences",unconfirmed,Meredith,Brooklyn,Greenpoint,40.72357,-73.95057,TRUE,strict,Entire home/apt,2011,$754 ,$151 ,2,2,0.09,2,1,34
101220,Private Room in Brooklyn (E.Williamsburg),unconfirmed,Agona,Brooklyn,Williamsburg,40.70811,-73.9326,TRUE,moderate,Private room,2011,$754 ,$151 ,4,3,0.12,5,NA,0
52281,Shoreham Hotel - Gorgeous Studio in Midtown Manhattan,unconfirmed,Shoreham,Manhattan,Midtown,40.76187,-73.97755,TRUE,strict,Entire home/apt,2015,$754 ,$151 ,1,11,2.36,4,44,348
74156,Bright 1b on quiet Williamsburg street,verified,Alison,Brooklyn,Williamsburg,40.71177,-73.96464,TRUE,strict,Entire home/apt,2006,$754 ,$151 ,3,4,0.88,3,1,8
38388,"Private Room, Bath & Entry, King Bed - NYC",unconfirmed,Renu,Queens,Forest Hills,40.73622,-73.8466,TRUE,strict,Entire home/apt,2008,$754 ,$151 ,2,37,5.05,4,1,21
64010,"Sunny apartment in the heart of Greenpoint, BK",unconfirmed,Ryan,Brooklyn,Greenpoint,40.73089,-73.95863,TRUE,strict,Entire home/apt,2008,$754 ,$151 ,2,12,1.12,3,1,138
30386,Cozy Exposed Brick Private Room with bathroom,unconfirmed,Delanique,Queens,Ridgewood,40.69861,-73.90728,FALSE,moderate,Private room,2019,$753 ,$151 ,1,42,2.57,2,1,5
62620,Tall Ceilings & Sunlight Galore,verified,Benjamin,Brooklyn,Clinton Hill,40.685,-73.96044,FALSE,moderate,Entire home/apt,2021,$753 ,$151 ,30,10,0.13,3,19,189
89131,1 Bedroom (Full) Mins From JFK and Casino,verified,Iwona,Queens,Jamaica,40.67603,-73.78217,FALSE,moderate,Private room,2008,$753 ,$151 ,1,29,0.9,1,4,8
34422,Bright essential cozy private room,unconfirmed,Valentina,Bronx,Wakefield,40.88878,-73.86349,TRUE,moderate,Private room,2014,$753 ,$151 ,1,1,0.17,3,1,269
373,Sweet Historic Greenpoint Duplex,unconfirmed,Miller,Brooklyn,Greenpoint,40.72911,-73.95493,TRUE,strict,Entire home/apt,2011,$753 ,$151 ,3,248,2.53,2,3,210
51032,Billie's Hideaway@The Carriage House on Dean,verified,Michelle,Brooklyn,Crown Heights,40.67576,-73.94518,FALSE,flexible,Private room,2016,$753 ,$151 ,1,84,5.85,5,7,90
67087,6 BDRM*APT TRAIN TO NYC 15 MIN,verified,Brendan,Brooklyn,Bedford-Stuyvesant,40.68654,-73.92413,FALSE,moderate,Entire home/apt,2012,$753 ,$151 ,30,61,0.73,2,4,365
84804,Cozy 1 bdrm near Prospect Park/BK,unconfirmed,Brooke,Brooklyn,Flatbush,40.64117,-73.96038,TRUE,flexible,Entire home/apt,2005,$753 ,$151 ,1,3,0.08,3,1,64
4798,Charming 1BR Private GARDEN Apt!,verified,Michael,Brooklyn,Boerum Hill,40.68572,-73.98602,TRUE,flexible,Entire home/apt,2007,$753 ,$151 ,3,6,0.1,2,1,201
53888,Large Queen/Queen Hotel Room,unconfirmed,Michelle,Manhattan,Chelsea,40.7464,-73.99039,FALSE,moderate,Private room,2010,$753 ,$151 ,1,19,1.48,5,50,26
16265,Entire Astoria Hardwood Floor 1 BR Apartment,unconfirmed,Megahn,Queens,Long Island City,40.76235,-73.92973,TRUE,strict,Entire home/apt,2015,$753 ,$151 ,2,16,0.44,4,1,75
31723,Spacious Private Room in Brooklyn,unconfirmed,Andre,Brooklyn,Crown Heights,40.66916,-73.96187,TRUE,moderate,Private room,2015,$753 ,$151 ,2,1,0.07,3,1,157
53417,"Modern, renovated one bedroom apartment",verified,Amy,Brooklyn,Park Slope,40.67154,-73.97998,TRUE,flexible,Entire home/apt,2021,$753 ,$151 ,3,192,2.27,2,2,263
22495,Upper east side - Cozy Room,verified,Gabriele,Manhattan,Upper East Side,40.76976,-73.95208,FALSE,moderate,Private room,2011,$753 ,$151 ,3,11,0.41,1,1,203
33523,Spacious Bushwick Bedroom!,verified,Alex,Brooklyn,Bushwick,40.69505,-73.92968,TRUE,flexible,Private room,2020,$753 ,$151 ,10,4,0.35,5,1,13
25860,"Luxury duplex, Brooklyn Museum",verified,Nick,Brooklyn,Crown Heights,40.6753,-73.96282,TRUE,moderate,Private room,2004,$753 ,$151 ,3,2,0.09,3,1,0
83055,Luxury Alcove Studio in Chelsea,unconfirmed,Ryan,Manhattan,Chelsea,40.74419,-73.99913,FALSE,strict,Entire home/apt,2021,$753 ,$151 ,1,102,4.55,3,1,33
66271,Charming beautiful one bed Apt UES,verified,Lu,Manhattan,Upper East Side,40.77841,-73.94633,FALSE,strict,Entire home/apt,2013,$753 ,$151 ,5,1,0.07,5,1,0
98579,Small private room for single ones comfy and clean,verified,Tiba,Manhattan,Hell's Kitchen,40.76438,-73.98955,FALSE,strict,Private room,2012,$753 ,$151 ,2,29,2.87,3,5,0
94656,Spacious Private Room in Brooklyn,verified,Andre,Brooklyn,Crown Heights,40.66916,-73.96187,FALSE,strict,Private room,2015,$753 ,$151 ,2,1,0.07,3,1,157
96443,Private Room and most of apt in Upper West Side,unconfirmed,Santiago,Manhattan,Morningside Heights,40.80624,-73.9634,FALSE,strict,Private room,2017,$752 ,$150 ,1,7,0.57,3,1,0
1630,Entire 1BR Bohemian Apartment in Center of NYC,verified,Nicolas,Manhattan,East Village,40.7296,-73.98479,TRUE,moderate,Entire home/apt,2013,$752 ,$150 ,2,1,0.09,3,1,238
69168,"CHARMING, QUIET ONE BEDROOM APT W/ BACK YARD",unconfirmed,Nicholas,Brooklyn,Gravesend,40.59584,-73.9753,FALSE,flexible,Entire home/apt,2011,$752 ,$150 ,5,23,0.31,2,3,127
45526,Spacious Washington Heights Oasis with Laundry,unconfirmed,Amy,Manhattan,Washington Heights,40.85374,-73.93198,FALSE,flexible,Entire home/apt,2006,$752 ,$150 ,3,1,0.83,4,1,12
72432,"Light, Bright and Cozy!",unconfirmed,Benjamin,Brooklyn,Bushwick,40.69867,-73.91134,FALSE,strict,Entire home/apt,2015,$752 ,$150 ,30,51,1.28,2,1,202
33510,Private Room and most of apt in Upper West Side,unconfirmed,Santiago,Manhattan,Morningside Heights,40.80624,-73.9634,FALSE,flexible,Private room,2017,$752 ,$150 ,1,7,0.57,3,1,0
9728,Renovated & Spacious Chelsea Studio,unconfirmed,Benjamin,Manhattan,Chelsea,40.73925,-74,FALSE,moderate,Entire home/apt,2010,$752 ,$150 ,3,94,2.02,3,1,174
87343,Studio with own back yard and new kitchen,unconfirmed,Joanna,Manhattan,Upper East Side,40.7731,-73.95169,TRUE,strict,Entire home/apt,2014,$752 ,$150 ,4,20,0.55,1,1,82
941,Big room near Prospect Park! NY!,verified,Williams,Brooklyn,Prospect-Lefferts Gardens,40.66039,-73.95937,TRUE,moderate,Private room,2017,$752 ,$150 ,7,34,0.39,2,1,65
62073,Brooklyn APT in heart of urban NYC hustle & bustle,unconfirmed,Andrew,Brooklyn,Bedford-Stuyvesant,40.69735,-73.93714,FALSE,strict,Entire home/apt,2021,$751 ,$150 ,4,44,1.08,5,1,176
76285,"Cosy, Awesome, Private Room in UES",verified,Valerie,Manhattan,Upper East Side,40.77799,-73.94935,TRUE,moderate,Private room,2015,$751 ,$150 ,5,9,0.29,1,2,118
66946,Private Large Bedroom in Trendy Williamsburg Loft,unconfirmed,Sam,Brooklyn,Williamsburg,40.71705,-73.95376,FALSE,strict,Private room,2014,$751 ,$150 ,8,44,0.8,2,4,0
15267,Spacious and sun-drenched bedroom,verified,Mimi,Brooklyn,Williamsburg,40.70751,-73.95441,TRUE,flexible,Private room,2020,$751 ,$150 ,1,2,0.05,4,1,149
88943,"Cosy, Awesome, Private Room in UES",verified,Valerie,Manhattan,Upper East Side,40.77799,-73.94935,TRUE,moderate,Private room,2015,$751 ,$150 ,5,9,0.29,1,2,118
45548,5 min walk to Times Square!  Sleeps 5. Very clean.,unconfirmed,Nick,Manhattan,Hell's Kitchen,40.76047,-73.99202,FALSE,moderate,Entire home/apt,2016,$751 ,$150 ,7,6,3.46,3,1,102
101444,"Cute one bedroom apt. in Greenpoint, Brooklyn.",unconfirmed,Greg,Brooklyn,Greenpoint,40.72556,-73.94368,FALSE,flexible,Private room,2004,$750 ,$150 ,3,64,2.24,1,1,162
6708,Sunny & Cozy 1 Bedroom Apartment,unconfirmed,Sophia,Brooklyn,Bedford-Stuyvesant,40.68675,-73.93749,TRUE,strict,Entire home/apt,2006,$750 ,$150 ,2,3,0.06,4,1,79
30679,"PRIVATE CLEAN APARTMENT, NEXT TO CENTRAL PARK!",verified,Whitney,Manhattan,Upper West Side,40.7943,-73.967,FALSE,strict,Entire home/apt,2011,$750 ,$150 ,3,42,2.72,3,1,3
54039,Beautiful 2 bedroom private suite,verified,Razia,Manhattan,Harlem,40.8035,-73.94918,FALSE,strict,Entire home/apt,2010,$750 ,$150 ,4,94,1.39,2,2,71
29309,1-bedroom apartment for up to  4 in Times Square.,unconfirmed,Jessy,Manhattan,Hell's Kitchen,40.76011,-73.99571,FALSE,flexible,Entire home/apt,2005,$750 ,$150 ,1,75,4.78,2,1,283
20336,Modern Authentic New York Living 1 BR Apartment,verified,Olivia,Manhattan,Lower East Side,40.71343,-73.98677,TRUE,flexible,Entire home/apt,2009,$750 ,$150 ,4,25,1.12,3,1,352
66216,New York City Gramercy Manhattan 1000 sq foot 1BR,verified,Sam,Manhattan,Stuyvesant Town,40.73306,-73.97855,FALSE,strict,Entire home/apt,2012,$750 ,$150 ,14,2,0.1,5,1,0
83617,Lavish 3 bedroom near Penn Station / MSG,unconfirmed,Michael,Manhattan,Chelsea,40.74881,-73.99375,TRUE,strict,Entire home/apt,2006,$750 ,$150 ,2,42,1.99,4,1,36
42207,Perfect apartment for the NYC experience,verified,Ragini,Queens,Astoria,40.7561,-73.92578,FALSE,strict,Entire home/apt,2019,$750 ,$150 ,1,1,0.52,3,1,60
91179,"Cute one bedroom apt. in Greenpoint, Brooklyn.",verified,Greg,Brooklyn,Greenpoint,40.72556,-73.94368,FALSE,strict,Private room,2004,$750 ,$150 ,3,64,2.24,1,1,162
2038,Columbia area room pvt bath & entry,unconfirmed,Irene,Manhattan,Morningside Heights,40.80776,-73.9654,TRUE,flexible,Private room,2007,$749 ,$150 ,2,233,3.01,2,1,166
101846,Charming apartment in Manhattan!,verified,Betina,Manhattan,Washington Heights,40.85338,-73.93232,FALSE,flexible,Private room,2007,$749 ,$150 ,3,71,2.54,5,1,60
100472,"Large Windows, Plenty of Light",unconfirmed,Benjamin,Brooklyn,Boerum Hill,40.68778,-73.98534,FALSE,strict,Entire home/apt,2010,$749 ,$150 ,30,5,0.16,3,21,343
97408,Bright & Bohemian UES 1 BR - Whole Apt!,unconfirmed,Haley,Manhattan,Upper East Side,40.76841,-73.95402,TRUE,strict,Entire home/apt,2011,$749 ,$150 ,2,23,2.04,3,1,2
76466,Private 2 BR Apartment Close to Subway,unconfirmed,Pardis,Brooklyn,Bushwick,40.68946,-73.91537,FALSE,moderate,Entire home/apt,2009,$749 ,$150 ,2,110,3.38,3,1,152
32829,"Stylish and Serene in Cobble Hill, Brooklyn",verified,Erika,Brooklyn,Cobble Hill,40.685,-73.99966,FALSE,flexible,Entire home/apt,2008,$749 ,$150 ,2,11,0.91,4,1,0
62747,Deluxe 1 Bedroom Best Location & Spacious,unconfirmed,Stay With Vibe,Manhattan,Upper East Side,40.78107,-73.95306,FALSE,moderate,Entire home/apt,2004,$749 ,$150 ,30,8,0.3,3,108,239
70281,Cozy PRIVATE Studio Apartment UWS and Jazz Tour.,unconfirmed,Sabrina,Manhattan,Upper West Side,40.7982,-73.96394,TRUE,moderate,Entire home/apt,2019,$749 ,$150 ,1,129,1.76,4,1,281
76114,"FLATIRON""""GRAND PANORAMA""""LUXURY~3 BR W/Roof Deck",verified,Emanuel,Manhattan,Midtown,40.74296,-73.98691,FALSE,flexible,Entire home/apt,2008,$749 ,$150 ,5,89,2.62,1,1,179
7009,LARGE ROOM IN A GREAT NEIGHBORHOOD,verified,Jorge,Queens,Ditmars Steinway,40.77645,-73.90566,TRUE,moderate,Private room,2004,$749 ,$150 ,3,95,1.75,4,1,233
67511,Charming Room Near Central Park,unconfirmed,Ellen,Manhattan,East Harlem,40.79959,-73.93857,FALSE,strict,Private room,2003,$749 ,$150 ,30,46,0.45,3,1,124
52163,Charming Suite in Historic Home,unconfirmed,David,Staten Island,Stapleton,40.63031,-74.08091,TRUE,moderate,Entire home/apt,2004,$748 ,$150 ,1,387,6.77,5,1,157
